time,sdc
197785,136
197798,135
197811,135
197823,135
197835,135
197848,135
197860,135
197873,135
197885,135
197898,135
197910,135
197922,135
197936,135
197948,135
197960,135
197972,135
197985,135
197998,135
198010,134
198023,135
198035,135
198047,135
198060,135
198073,135
198085,135
198097,135
198110,135
198122,135
198135,135
198148,135
198160,160
198172,293
198184,333
198198,349
198210,152
198222,138
198235,136
198247,136
198259,136
198273,135
198285,135
198297,135
198309,135
198322,135
198335,135
198347,135
198360,135
198372,136
198384,134
198397,135
198410,135
198422,135
198434,135
198447,135
198459,135
198472,135
198484,135
198497,135
198509,135
198521,135
198535,135
198547,135
198559,135
198572,135
198584,136
198597,135
198609,135
198622,135
198634,135
198646,135
198659,135
198672,136
198684,135
198696,135
198709,135
198721,136
198734,209
198747,312
198759,342
198771,355
198784,144
198797,138
198809,136
198821,136
198834,136
198846,135
198858,135
198872,136
198884,135
198896,136
198908,136
198921,135
198934,136
198946,136
198959,136
198971,135
198983,136
198996,136
199009,136
199021,135
199033,136
199046,136
199058,135
199071,135
199084,135
199096,136
199108,135
199120,135
199134,135
199146,135
199158,137
199171,136
199183,135
199196,136
199208,135
199221,136
199233,135
199245,136
199258,134
199271,270
199283,328
199296,349
199308,187
199320,140
199333,138
199346,135
199358,135
199370,136
199383,136
199396,136
199408,135
199420,135
199433,135
199445,135
199457,135
199471,135
199483,135
199495,135
199507,135
199520,135
199533,135
199545,136
199558,135
199570,135
199582,135
199596,135
199608,135
199620,135
199632,135
199645,135
199657,135
199670,135
199683,135
199695,135
199707,136
199719,135
199733,135
199745,135
199757,136
199770,134
199782,135
199795,135
199808,133
199820,135
199832,141
199844,287
199857,330
199870,347
199882,154
199895,138
199907,136
199919,135
199932,134
199945,135
199957,135
199969,135
199982,135
199995,135
200007,135
200019,135
200032,135
200044,135
200056,134
200070,136
200082,136
200094,135
200107,134
200119,136
200132,135
200144,135
200157,135
200169,135
200181,135
200195,135
200207,135
200219,135
200231,135
200244,135
200256,135
200269,134
200282,135
200294,136
200306,134
200318,135
200332,135
200344,135
200356,135
200369,231
200381,313
200394,340
200407,341
200419,142
200431,137
200443,136
200456,135
200469,135
200481,135
200494,135
200506,136
200518,135
200531,135
200544,135
200556,135
200568,135
200581,135
200594,135
200606,135
200619,135
200631,135
200643,136
200655,135
200669,137
200681,135
200693,136
200706,136
200718,136
200731,135
200743,136
200756,135
200768,136
200780,136
200794,136
200806,136
200818,136
200830,136
200843,136
,
,
200855,136
200868,136
200881,136
200893,136
200905,136
200918,136
200931,136
200943,266
200955,332
200968,357
200980,269
200993,142
201006,138
201018,137
201030,137
201042,137
201055,137
201068,137
201080,137
201093,138
201105,137
201117,137
201131,137
201143,137
201155,137
201167,137
201180,137
201193,137
201205,137
201218,137
201230,137
201242,137
201254,139
201268,137
201280,137
201292,138
201305,137
201317,136
201330,137
201342,137
201355,137
201367,137
201379,137
201393,138
201405,137
201417,137
201430,137
201442,137
201454,137
201467,176
201480,310
201492,351
201504,369
201517,154
201530,140
201542,138
201554,138
201567,137
201579,137
201592,137
201605,137
201617,137
201629,137
201641,137
201654,137
201667,137
201679,137
201692,136
201704,137
201716,137
201730,137
201742,136
201754,137
201766,137
201779,136
201792,137
201804,137
201817,136
201829,137
201841,137
201853,137
201867,136
201879,137
201891,136
201904,136
201916,137
201929,137
201942,136
201954,137
201966,136
201978,136
201992,137
202004,137
202016,136
202029,136
202041,220
202053,317
202066,348
202079,360
202091,144
202103,138
202116,137
202129,136
202141,137
202153,136
202166,136
202178,136
202191,135
202204,136
202216,137
202228,135
202241,136
202253,136
202266,136
202278,135
202291,136
202303,136
202315,136
202329,136
202341,136
202353,136
202365,136
202378,135
202391,136
202403,135
202416,135
202428,136
202440,135
202452,136
202466,136
202478,135
202490,135
202503,136
202515,136
202528,136
202541,135
202553,136
202565,134
202577,278
202591,332
202603,352
202615,187
202628,140
202640,137
202652,136
202665,136
202678,136
202690,136
202702,136
202715,136
202728,136
202740,136
202753,136
202765,136
202777,135
202790,136
202803,137
202815,135
202827,135
202840,136
202852,136
202865,136
202877,136
202890,136
202902,136
202914,136
202928,136
202940,136
202952,136
202964,136
202977,136
202990,136
203002,136
203015,136
203027,136
203039,136
203052,137
203065,136
203077,136
203089,136
203102,136
203114,136
203127,136
203140,148
203152,297
203164,339
203176,358
203190,156
203202,140
203214,137
203227,137
203239,136
203251,136
203265,136
203277,137
203289,136
203301,136
203314,136
203327,136
203339,136
203352,135
203364,136
203376,136
203389,137
203402,136
203414,136
203426,136
203439,137
