Original distance,Distance without correction,Distance with temperature and huminity correction,moon Distance,moon distance with correction
2,3,3.7,0,0
4,4,4.8,4,4.5
6,6,6.2,6,6.31
8,8,8.6,7,7.91
10,10,10.1,9,9.38
12,12,12.6,11,11.39
14,14,14.5,13,13.82
16,16,16.5,15,15.56
18,18,18.5,18,18.2
20,20,20.3,21,21.05
22,22,22.6,22,22.09
24,24,24.1,24,23.97
26,26,26.6,25,25.67
28,28,28.6,27,27.45
30,30,29.8,30,30.02
32,32,31.7,30,30.09
34,34,34.4,33,33.36
36,36,36.3,33,33.64
38,38,37.8,34,35.65
40,40,39.6,36,36.79
